,step,Lagrangian_val,Train_val,Probability_violations_train,Violations_train,Avg_prob_train,A_norm,lam_list,mu,alpha,alphagrad,gradnorm,Rho
103,103,768.6173002240089,-3.6089994649445583,[0.05],13.368971865752638,0.05,38.1340850759342,[51.09519425],1.0030030009999995,0.005835278959089543,tensor(-258.0173),"[np.float64(0.5777850263621157), np.float64(9.148649566542979), np.float64(0.027438554743297698), np.float64(2.4740340275428188)]",1.0
104,104,764.8949670188351,-3.6080229642322093,[0.05],13.310854018703898,0.05,38.148117298230794,[51.09519425],1.0030030009999995,0.005854586792864719,tensor(-225.5611),"[np.float64(0.5778361273044155), np.float64(9.148612204918768), np.float64(0.027560101601729), np.float64(2.474077867553284)]",1.0
105,105,761.5392562429319,-3.6070952809530628,[0.045],13.258367361040452,0.045,38.16233802947834,[51.09519425],1.0030030009999995,0.0058746065791035335,tensor(-225.3768),"[np.float64(0.5778881385444762), np.float64(9.148574167607082), np.float64(0.027682971517875014), np.float64(2.4741226189998935)]",1.0
106,106,758.0758065537677,-3.606210838244523,[0.045],13.204154964494913,0.045,38.17670805102195,[51.09519425],1.0030030009999995,0.005895263291672307,tensor(-225.1865),"[np.float64(0.5779408952382962), np.float64(9.148535560704063), np.float64(0.027806820049931978), np.float64(2.474168133960936)]",1.0
107,107,754.5223512298007,-3.60536470151353,[0.045],13.148489741229671,0.045,38.19119445844923,[51.09519425],1.0030030009999995,0.005916489459030296,tensor(-224.9911),"[np.float64(0.5779942571459703), np.float64(9.148496476164413), np.float64(0.027931367835589627), np.float64(2.474214285056586)]",1.0
108,108,750.8941609210359,-3.604552496015426,[0.045],13.091606891526995,0.045,38.20576960149381,[51.09519425],1.0030030009999995,0.005938224409148145,tensor(-224.7914),"[np.float64(0.5780481048442949), np.float64(9.148456993731562), np.float64(0.028056387534604224), np.float64(2.4742609624624756)]",1.0
109,109,747.2044017124483,-3.603770337584815,[0.045],13.033709400384405,0.045,38.22041022398617,[51.09519425],1.0030030009999995,0.005960413589513817,tensor(-224.5882),"[np.float64(0.5781023365720588), np.float64(9.148417182585916), np.float64(0.0281816937708287), np.float64(2.4743080714049017)]",1.0
110,110,743.4644353414021,-3.603014773205331,[0.045],12.974972638727685,0.045,38.23509675962742,[51.09519425],1.0030030009999995,0.005983007954836605,tensor(-224.3820),"[np.float64(0.5781568655912195), np.float64(9.148377102756156), np.float64(0.028307135203418404), np.float64(2.474355530050051)]",1.0
111,111,739.6840727841552,-3.6022827303000713,[0.045],12.915548244993932,0.045,38.249812750754586,[51.09519425],1.0030030009999995,0.006005963415766966,tensor(-224.1733),"[np.float64(0.5782116179716424), np.float64(9.148336806329462), np.float64(0.028432588289598035), np.float64(2.4744032677124963)]",1.0
112,112,735.8717847713724,-3.601571473079951,[0.045],12.855567341662095,0.045,38.264544367891524,[51.09519425],1.0030030009999995,0.006029240342594995,tensor(-223.9628),"[np.float64(0.5782665307235003), np.float64(9.148296338493349), np.float64(0.028557952302417748), np.float64(2.4744512233374474)]",1.0
